Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-50.0834,-164.9403,6.4092,315.6857,-4.5859,-4.4774,-0.5923
199,-49.6714,-165.5644,6.1276,312.1844,-4.1148,-4.5404,-0.5661
198,-49.2568,-166.1791,5.8772,308.3247,-3.6446,-4.6107,-0.5426
197,-48.8397,-166.7846,5.6622,304.1115,-3.1754,-4.6880,-0.5221
196,-48.4202,-167.3813,5.4864,299.5676,-2.7073,-4.7720,-0.5050
195,-47.9984,-167.9693,5.3536,294.7380,-2.2403,-4.8623,-0.4916
194,-47.5743,-168.5489,5.2668,289.6905,-1.7746,-4.9588,-0.4822
193,-47.1480,-169.1202,5.2280,284.5128,-1.3101,-5.0612,-0.4771
192,-46.7196,-169.6836,5.2380,279.3052,-0.8470,-5.1691,-0.4765
191,-46.2892,-170.2392,5.2964,274.1702,-0.3852,-5.2824,-0.4802
190,-45.8568,-170.7872,5.4013,269.2019,0.0752,-5.4008,-0.4883
189,-45.8631,-171.4839,5.5044,265.4087,0.4406,-5.4867,-0.4968
188,-45.8653,-172.1807,5.6369,261.8021,0.8038,-5.5793,-0.5080
187,-45.8634,-172.8774,5.7966,258.4095,1.1646,-5.6784,-0.5217
186,-45.8574,-173.5741,5.9813,255.2478,1.5231,-5.7842,-0.5379
185,-45.8473,-174.2706,6.1885,252.3245,1.8790,-5.8964,-0.5562
184,-45.8332,-174.9668,6.4160,249.6394,2.2323,-6.0151,-0.5764
183,-45.8150,-175.6626,6.6614,247.1864,2.5828,-6.1403,-0.5984
182,-45.7928,-176.3579,6.9227,244.9552,2.9306,-6.2718,-0.6220
181,-45.7665,-177.0527,7.1981,242.9329,3.2754,-6.4097,-0.6470
180,-45.7361,-177.7467,7.4857,241.1054,3.6171,-6.5538,-0.6732
179,-46.0595,-178.5940,6.7331,243.0343,3.0532,-6.0011,-0.6053
178,-46.3758,-179.4516,5.9847,245.2840,2.5023,-5.4364,-0.5378
177,-46.6848,179.6802,5.2421,247.9841,1.9651,-4.8598,-0.4709
176,-46.9866,178.8017,4.5081,251.3451,1.4420,-4.2713,-0.4051
175,-47.2808,177.9128,3.7876,255.7293,0.9337,-3.6707,-0.3408
174,-47.5674,177.0136,3.0898,261.8011,0.4406,-3.0582,-0.2792
173,-47.8461,176.1042,2.4341,270.8587,-0.0365,-2.4338,-0.2225
172,-48.1168,175.1846,1.8651,285.4583,-0.4971,-1.7976,-0.1754
171,-48.3794,174.2548,1.4854,309.2919,-0.9407,-1.1496,-0.1476
170,-48.6337,173.3152,1.4517,340.2747,-1.3665,-0.4900,-0.1502
169,-48.5110,173.2481,1.8150,312.7410,-1.2318,-1.3330,-0.1916
168,-48.3884,173.1812,2.4379,296.7378,-1.0968,-2.1772,-0.2530
167,-48.2658,173.1145,3.1720,287.6477,-0.9616,-3.0227,-0.3231
166,-48.1431,173.0480,3.9567,282.0529,-0.8262,-3.8694,-0.3973
165,-48.0204,172.9817,4.7676,278.3283,-0.6906,-4.7174,-0.4738
164,-47.8978,172.9156,5.5941,275.6908,-0.5547,-5.5665,-0.5516
163,-47.7751,172.8497,6.4305,273.7327,-0.4186,-6.4168,-0.6302
162,-47.6524,172.7840,7.2738,272.2247,-0.2824,-7.2683,-0.7094
161,-47.5297,172.7185,8.1223,271.0290,-0.1459,-8.1210,-0.7890
160,-47.4070,172.6531,8.9749,270.0585,-0.0092,-8.9749,-0.8688
159,-47.4011,171.4647,9.5280,272.4451,-0.4065,-9.5193,-0.9172
158,-47.3877,170.2760,10.0377,274.4451,-0.7780,-10.0075,-0.9606
157,-47.3669,169.0872,10.0842,274.6975,-0.8258,-10.0503,-0.9519
156,-47.3386,167.8988,10.1306,275.0106,-0.8848,-10.0919,-0.9446
155,-47.3029,166.7109,10.1766,275.3842,-0.9549,-10.1317,-0.9387
